station_eu_code;st_x;st_y;altitudine;regione;provincia;comune;nome_stazione;Mese3.feriali1;Mese3.feriali2;Mese3.feriali3;Mese3.feriali4;Mese3.festivi1;Mese3.festivi2;Mese3.festivi3;Mese3.festivi4;Mese3.festivi5;Mese4.feriali1;Mese4.feriali2;Mese4.feriali3;Mese4.feriali4;Mese4.feriali5;Mese4.festivi1;Mese4.festivi2;Mese4.festivi3;Mese4.festivi4;tipo_zona;tipo_stazione;zona_tipo;i_surface;d_a1;d_a2
IT0906A;9.870556;46.167222;307;LOMBARDIA;Sondrio;Sondrio;SONDRIO - VIA MAZZINI;-0.1035350263118744;-0.2543318569660187;-0.4000246524810791;-0.4512392282485962;-0.23835575580596924;-0.15254288911819458;-0.4790443778038025;-0.6506681442260742;-0.5431492328643799;-0.526153564453125;-0.43207329511642456;-0.4563002288341522;-0.30784669518470764;-0.42898184061050415;-0.4515984356403351;-0.5147335529327393;-0.3562941253185272;-0.41254010796546936;U;T;TU;48.8720703125;57458.37109375;1974.0074462890625
IT1967A;9.88028;46.16861;290;LOMBARDIA;Sondrio;Sondrio;SONDRIO - VIA PARIBELLI;-0.11334731429815292;-0.26096585392951965;-0.40553018450737;-0.4533965587615967;-0.2532723546028137;-0.1657865196466446;-0.484421968460083;-0.6517629623413086;-0.5439426302909851;-0.5379957556724548;-0.4437093436717987;-0.468768447637558;-0.3269844353199005;-0.4410545229911804;-0.4637357294559479;-0.5197726488113403;-0.37579137086868286;-0.42591729760169983;U;F;FU;51.40055847167969;57706.5390625;1999.785888671875
IT1203A;8.84861;45.54667;184;LOMBARDIA;Milano;Arconate;ARCONATE;-0.04461530223488808;-0.05608867108821869;-0.06673777848482132;-0.4090707302093506;-0.2450028210878372;0.09119201451539992;0.15222516655921936;-0.4935929775238037;-0.4127547144889831;-0.03338918834924698;-0.2793964147567749;-0.536722719669342;-0.06422470510005951;-0.3558116853237152;-0.1929568201303482;-0.49885085225105286;-0.5055535435676575;-0.35274267196655273;S;F;FS;2.455976724624634;6972.89208984375;2074.297119140625
IT0694A;9.22806;45.55139;154;LOMBARDIA;Milano;Cinisello Balsamo;CINISELLO B.;0.01621256209909916;-0.1542406678199768;-0.2487877607345581;-0.5345046520233154;-0.31278225779533386;0.1091758757829666;-0.1215664967894554;-0.7572574019432068;-0.6151334047317505;-0.2720263600349426;-0.3370828926563263;-0.5342736840248108;-0.24926823377609253;-0.5649462938308716;-0.3877978026866913;-0.6066137552261353;-0.5286968350410461;-0.5483999848365784;U;T;TU;83.79454040527344;91.0228500366211;942.82684326171875
IT0761A;9.1825;45.44917;122;LOMBARDIA;Milano;Milano;MILANO - V.LE LIGURIA;0.0715891569852829;-0.12412344664335252;-0.15552665293216705;-0.3641099035739898;-0.2806323766708374;0.31252196431159973;-0.12109466642141342;-0.6686139702796936;-0.5507447719573975;-0.1343672126531601;-0.1525818109512329;-0.5492839217185974;-0.22121192514896393;-0.4997544288635254;-0.1832747459411621;-0.5102539658546448;-0.5831313729286194;-0.5396320819854736;U;T;TU;94.91217041015625;1821.364013671875;916.49664306640625
IT0706A;9.3275;45.482778;123;LOMBARDIA;Milano;Pioltello;LIMITO;-0.05265717208385467;-0.10535657405853271;-0.1556931436061859;-0.4142347276210785;-0.3875470757484436;0.10607048124074936;-0.20539842545986176;-0.6957917213439941;-0.585099995136261;-0.09274423122406006;-0.12416402995586397;-0.441245436668396;-0.08882635086774826;-0.4840589165687561;-0.16101187467575073;-0.4897365272045135;-0.435176819562912;-0.4941653907299042;U;F;FU;10.327138900756836;5954.33740234375;1206.80908203125
IT0477A;9.191389;45.495556;122;LOMBARDIA;Milano;Milano;MILANO - V.LE MARCHE;0.04494847729802131;-0.15205371379852295;-0.1929069012403488;-0.4533981382846832;-0.2935202717781067;0.2162824869155884;-0.11209329962730408;-0.714049220085144;-0.5880695581436157;-0.2048267126083374;-0.24211521446704865;-0.560708224773407;-0.2630765736103058;-0.5456942915916443;-0.28810665011405945;-0.5643759965896606;-0.5784370303153992;-0.5635168552398682;U;T;TU;85.48271179199219;4749.75341796875;9.639379501342773
IT1034A;9.15694;45.66083;221;LOMBARDIA;Monza e della Brianza;Meda;MEDA;-0.10823898762464523;-0.24124518036842343;-0.2386360466480255;-0.4394606351852417;-0.30230727791786194;-0.15637780725955963;-0.14541032910346985;-0.6510525345802307;-0.5165255069732666;-0.29610005021095276;-0.4160386323928833;-0.46934351325035095;-0.14611360430717468;-0.5217756628990173;-0.4377463757991791;-0.6001017093658447;-0.3940202295780182;-0.4361774623394013;U;T;TU;72.77542877197266;4981.65234375;5216.17236328125
IT1174A;8.989444;45.282778;100;LOMBARDIA;Milano;Motta Visconti;MOTTA VISCONTI;0.07344450801610947;0.06967106461524963;-0.11628426611423492;-0.19818229973316193;-0.07758316397666931;0.5711508989334106;0.03575543314218521;-0.3674936294555664;-0.4595155119895935;-0.05668634921312332;-0.16297371685504913;-0.4893613755702973;0.02170166373252868;-0.2673001289367676;0.02898349799215793;-0.4222071766853333;-0.512207567691803;-0.29223793745040894;R;F;FR;13.776395797729492;5716.6689453125;193.6231689453125
IT0592A;9.04472;45.5225;158;LOMBARDIA;Milano;Rho;RHO;0.00330922845751047;-0.09810897707939148;-0.13264499604701996;-0.42432236671447754;-0.26193228363990784;0.19095952808856964;0.07217786461114883;-0.6460955142974854;-0.5343538522720337;-0.1038147583603859;-0.2561742961406708;-0.5783730149269104;-0.23610790073871613;-0.5204498767852783;-0.230641707777977;-0.55907440185546875;-0.5848188996315002;-0.5203694105148315;U;F;FU;65.9750747680664;802.64227294921875;770.47705078125
IT1016A;9.198056;45.469722;122;LOMBARDIA;Milano;Milano;MILANO - SENATO;0.0530228465795517;-0.13225112855434418;-0.15370309352874756;-0.3953508138656616;-0.30128973722457886;0.2636081576347351;-0.12222320586442947;-0.679354190826416;-0.5727382898330688;-0.16073672473430634;-0.17833587527275083;-0.546015739440918;-0.2220720499753952;-0.5107120871543884;-0.21848931908607483;-0.5257507562637329;-0.5668362379074097;-0.5447339415550232;U;T;TU;89.17063903808594;3894.770751953125;1189.374267578125
IT0705A;9.195833;45.462778;122;LOMBARDIA;Milano;Milano;MILANO - VERZIERE;0.04708153009414673;-0.12798309326171875;-0.15576094388961792;-0.3822132349014282;-0.30284184217453003;0.2700234353542328;-0.13480059802532196;-0.6760908961296082;-0.5643447637557983;-0.14657080173492432;-0.16658297181129456;-0.5441007018089294;-0.21740224957466123;-0.5077140927314758;-0.20202583074569705;-0.5187147259712219;-0.5675838589668274;-0.5425860285758972;U;T;TU;93.97936248779297;3689.341064453125;1204.173583984375
